time;cross_track_error
16.16204;0.0495972
16.16277;0.189425
16.16286;0.34843
16.16351;0.380658
16.16396;0.184444
16.16473;0.073526
16.16502;0.222979
16.16555;0.42016
16.16601;0.328014
16.16647;0.192442
16.16691;0.143339
16.16766;0.326051
16.16816;0.468854
16.16847;0.337296
16.16891;0.23194
16.16965;0.296455
17.17012;0.452865
17.17081;0.35431
17.17084;0.250127
17.17161;0.255285
17.17205;0.346302
17.17273;0.290617
17.17312;0.339667
17.17358;0.347892
17.17405;0.321506
17.17448;0.409748
17.17488;0.337039
17.17562;0.34451
17.17605;0.387508
17.17677;0.333823
17.17703;0.369477
17.17757;0.402473
17.17800;0.324687
17.17879;0.407566
17.17898;0.273338
17.17953;0.243118
18.18001;0.335218
18.18077;0.203917
18.18117;0.148879
18.18153;0.268352
18.18198;0.0821932
18.18272;0.184648
18.18303;0.273336
18.18352;0.177213
18.18400;0.24846
18.18469;0.287149
18.18495;0.224823
18.18544;0.310249
18.18592;0.22516
18.18673;0.190471
18.18699;0.301685
18.18784;0.155007
18.18802;0.124337
18.18857;0.265424
18.18907;0.174121
18.18952;0.217706
18.18996;0.415705
19.19070;0.467272
19.19103;0.531416
19.19155;0.56637
19.19200;0.58025
19.19239;0.590783
19.19288;0.552756
19.19349;0.585996
19.19392;0.525601
19.19461;0.520945
19.19492;0.461335
19.19545;0.394105
19.19595;0.409723
19.19666;0.327655
19.19714;0.252415
19.19749;0.320089
19.19801;0.230502
19.19867;0.154053
19.19917;0.274775
19.19942;0.164531
19.19991;0.0755528
20.20067;0.264726
20.20103;0.460775
20.20177;0.267469
20.20205;0.0695572
20.20264;0.173461
20.20343;0.372841
20.20393;0.399645
20.20405;0.205654
20.20465;0.0806285
20.20543;0.214997
20.20588;0.409334
20.20609;0.334664
20.20665;0.11887
20.20746;0.141323
20.20748;0.324668
20.20817;0.460657
20.20863;0.266409
20.20936;0.0798968
20.20981;0.19969
20.20999;0.313145
21.21053;0.388508
21.21101;0.23196
21.21155;0.0593248
21.21215;0.22149
21.21266;0.417195
21.21342;0.305638
21.21388;0.152107
21.21449;0.0820999
21.21449;0.303212
21.21541;0.457336
21.21585;0.299261
21.21596;0.144448
21.21653;0.115319
21.21734;0.346871
21.21776;0.450546
21.21822;0.291717
21.21867;0.0618103
21.21940;0.154084
21.21984;0.390836
22.22004;0.40443
22.22066;0.205695
22.22145;0.0426658
22.22188;0.235989
22.22223;0.355358
22.22268;0.357974
22.22336;0.119802
22.22380;0.0853031
22.22433;0.163672
22.22458;0.471057
22.22537;0.271574
22.22564;0.0733148
22.22623;0.129409
22.22668;0.328417
22.22726;0.424397
22.22780;0.22494
22.22847;0.0661625
22.22850;0.135326
22.22931;0.374414
22.22976;0.378479
23.23018;0.21894
